Time [s],Value,Parity Error,Framing Error
2.372701,0xFF,,
2.378926,0x04,,
2.379022,0xA1,,
2.379117,0x5A,,
2.379213,0xFF,,
2.379931,0x06,,
2.380027,0xA1,,
2.380122,0xFF,,
2.380218,0xFF,,
2.380313,0x5A,,
2.380409,0xFD,,
2.386627,0x04,,
2.386722,0xA2,,
2.386818,0x59,,
2.386914,0xFF,,
2.38763,0x06,,
2.387725,0xA2,,
2.387819,0x00,,
2.387914,0x00,,
2.388009,0x57,,
2.388104,0xFF,,
2.394328,0x04,,
2.394423,0xA1,,
2.394519,0x5A,,
2.394614,0xFF,,
2.395336,0x06,,
2.395432,0xA1,,
2.395527,0xFF,,
2.395623,0xFF,,
2.395718,0x5A,,
2.395814,0xFD,,
2.402029,0x04,,
2.402124,0xA2,,
2.40222,0x59,,
2.402315,0xFF,,
2.403032,0x06,,
2.403127,0xA2,,
2.403221,0x00,,
2.403316,0x00,,
2.403411,0x57,,
2.403506,0xFF,,
2.409729,0x04,,
2.409825,0xA1,,
2.409921,0x5A,,
2.410016,0xFF,,
2.410735,0x06,,
2.410831,0xA1,,
2.410926,0xFF,,
2.411022,0xFF,,
2.411117,0x5A,,
2.411213,0xFD,,
2.41743,0x04,,
2.417526,0xA2,,
2.417621,0x59,,
2.417717,0xFF,,
2.418437,0x06,,
2.418532,0xA2,,
2.418626,0x00,,
2.418721,0x00,,
2.418816,0x57,,
2.418911,0xFF,,
2.425131,0x04,,
2.425227,0xA1,,
2.425322,0x5A,,
2.425418,0xFF,,
2.426141,0x06,,
2.426236,0xA1,,
2.426332,0xFF,,
2.426427,0xFF,,
2.426523,0x5A,,
2.426618,0xFD,,
2.432832,0x04,,
2.432928,0xA2,,
2.433023,0x59,,
2.433119,0xFF,,
2.433832,0x06,,
2.433927,0xA2,,
2.434022,0x00,,
2.434117,0x00,,
2.434212,0x57,,
2.434307,0xFF,,
2.440532,0x04,,
2.440627,0xA1,,
2.440723,0x5A,,
2.440819,0xFF,,
2.441541,0x06,,
2.441636,0xA1,,
2.441732,0xFF,,
2.441827,0xFF,,
2.441923,0x5A,,
2.442018,0xFD,,
2.448234,0x04,,
2.448329,0xA2,,
2.448425,0x59,,
2.44852,0xFF,,
2.449235,0x06,,
2.44933,0xA2,,
2.449425,0x00,,
2.449519,0x00,,
2.449614,0x57,,
2.449709,0xFF,,
2.455935,0x04,,
2.45603,0xA1,,
2.456126,0x5A,,
2.456221,0xFF,,
2.456946,0x06,,
2.457041,0xA1,,
2.457137,0xFF,,
2.457232,0xFF,,
2.457328,0x5A,,
2.457423,0xFD,,
2.463634,0x04,,
2.46373,0xA2,,
2.463826,0x59,,
2.463921,0xFF,,
2.464634,0x06,,
2.464728,0xA2,,
2.464823,0x00,,
2.464918,0x00,,
2.465013,0x57,,
2.465108,0xFF,,
2.471335,0x04,,
2.471431,0xA1,,
2.471526,0x5A,,
2.471622,0xFF,,
2.472343,0x06,,
2.472439,0xA1,,
2.472534,0xFF,,
2.47263,0xFF,,
2.472725,0x5A,,
2.472821,0xFD,,
2.479036,0x04,,
2.479132,0xA2,,
2.479227,0x59,,
2.479323,0xFF,,
2.480035,0x06,,
2.48013,0xA2,,
2.480225,0x00,,
2.48032,0x00,,
2.480415,0x57,,
2.48051,0xFF,,
2.486737,0x04,,
2.486833,0xA1,,
2.486928,0x5A,,
2.487024,0xFF,,
2.487742,0x06,,
2.487838,0xA1,,
2.487933,0xFF,,
2.488029,0xFF,,
2.488124,0x5A,,
2.48822,0xFD,,
2.494438,0x04,,
2.494533,0xA2,,
2.494629,0x59,,
2.494725,0xFF,,
2.495437,0x06,,
2.495532,0xA2,,
2.495626,0x00,,
2.495721,0x00,,
2.495816,0x57,,
2.495911,0xFF,,
2.502139,0x04,,
2.502234,0xA1,,
2.50233,0x5A,,
2.502425,0xFF,,
2.503144,0x06,,
2.503239,0xA1,,
2.503335,0xFF,,
2.50343,0xFF,,
2.503526,0x5A,,
2.503621,0xFD,,
2.50984,0x04,,
2.509935,0xA2,,
2.510031,0x59,,
2.510126,0xFF,,
2.51754,0x04,,
2.517636,0xA2,,
2.517732,0x59,,
2.517827,0xFF,,
2.518547,0x06,,
